brand,screens,seats
KT&G 상상마당 Cinema,1,76
롯데시네마 홍대입구,5,916
씨네Q 대구이시아,7,516
낭만극장,1,286
CGV 서산,8,820
CGV 기린,2,95
CGV 동탄,8,1402
메가박스 남양주,8,738
영화공장,1,108
CGV DRIVE IN 용인크랙사이드,1,200
CGV 진주혁신,7,724
메가박스 신촌,8,1694
CGV 인천시민공원,5,373
메가박스 안성스타필드,7,1256
메가박스 광명소하,6,800
메가박스 광명AK플라자,6,795
메가박스 부산대,7,1065
메가박스 동대문,8,1744
메가박스 분당,6,785
CGV 송파,7,1138
씨네큐 청라,7,506
CGV 천안터미널,13,2540
CGV 등촌,6,934
옥천 향수시네마,2,95
CGV 산본,6,621
CGV 광주하남,7,1376
롯데시네마 천안청당,6,639
별고을시네마,2,98
자유로자동차극장,2,150
메가박스 수원남문,4,248
영암 기찬시네마,2,93
CGV 익산,7,1123
CGV 부천옥길,6,634
화성시 작은영화관,2,150
CGV 용산아이파크몰,22,5362
CGV 송도타임스페이스,7,694
CGV 정왕,5,448
영동 레인보우 영화관,2,97
오시리아 자동차야외극장,1,199
임실한마당 작은별영화관,2,94
CGV 다산,10,862
CGV 안산,9,1858
명화극장,1,199
청춘극장,1,260
허리우드클래식,1,300
케이트리호텔 X 모노플렉스,1,16
CGV 명동역 씨네라이브러리,5,694
메가박스 논산,5,452
CGV 압구정,6,898
CGV 오리,10,1570
초이자동차극장,1,45
인디플러스 천안,1,50
제주자동차극장,1,50
한국민속촌 자동차극장,2,230
CGV 구로,8,1232
메가박스 목동,9,1584
괴산자연드림파크 괴산극장,3,234
CGV 인천,14,2788
CGV 고성,2,116
CGV 대구아카데미,8,1374
CGV 영등포,12,2714
해남시네마,2,136
포천 클라우드시네마,2,98
울진 작은영화관,1,87
보물섬시네마,1,212
산청군 작은영화관,2,98
강화작은영화관,1,89
큐브시네마,1,150
양구 정중앙 시네마,2,201
메가박스 상암월드컵경기장,9,1540
대전아트시네마,1,138
롯데시네마 제주삼화지구,5,372
롯데시네마 센텀시티(백화점),9,1712
CGV 평택,8,1324
CGV 신촌아트레온,10,1561
CGV 강변,12,1666
금산시네마,2,150
금성시네마,2,108
대가야시네마,2,99
메가박스 김천,4,642
CGV 제천,6,642
메가박스 목포하당,7,996
메가박스 진천,4,372
인천미림극장,1,253
롯데시네마 평택비전(뉴코아),5,333
롯데시네마 수락산,5,634
CGV 광명역,5,374
롯데시네마 경주황성,6,848
롯데시네마 전주송천,7,686
롯데시네마 오산(원동),5,375
메가박스 남춘천,7,1134
메가박스 파주금촌,7,921
CGV 순천신대,9,1449
CGV 정읍,4,553
메가박스 용인테크노밸리,6,611
메가박스 시흥배곧,6,1227
문화극장 1관,1,218
함평자동차극장,2,180
메가박스 일산,8,950
안영채 X 모노플렉스,1,40
메가박스 부산극장,9,1372
메가박스 이수,6,888
CGV 청주터미널,8,676
필름포럼,2,142
밀양시네마,2,292
CGV 대구현대,6,710
철원작은영화관 뚜루,3,228
롯데시네마 신도림,5,560
서울아트시네마,1,230
판타스틱 큐브,1,70
광주극장,1,856
씨네큐 신도림,10,1115
라이카시네마,1,39
메가박스 충주,4,578
인디스페이스,1,186
아리랑시네센터(서울),3,472
동광극장(구 문화극장3관),1,283
문화극장 2관,1,74
애관극장(인천),5,809
예당시네마,1,95
KU시네마테크,1,152
조종시네마,2,99
함안군 작은영화관,2,98
화순시네마,2,124
인천대한극장,2,245
대한극장(서울),12,2812
CGV 원통,1,92
명보시네마,3,236
영월시네마,2,149
대전독립영화전용관 씨네인디U,1,72
구례자연드림시네마,2,140
무주 산골 영화관,2,98
CGV 동백,8,1144
영화공간주안,4,496
조이아트시네마,1,94
조이앤시네마 전주점,5,760
고흥 작은영화관,2,142
이봄씨어터,1,59
CGV 광주터미널,13,3166
엠시네마 자동차극장,1,52
지평선시네마,2,99
CGV 청담씨네시티,6,670
영화의 전당,6,4560
스타박스,2,166
합천시네마,2,99
완도 빙그레 시네마,2,98
1939시네마,2,136
마이골 작은영화관,2,98
천재의 공간 영화산책,2,149
동리시네마,2,93
CGV 소풍,11,1773
서천군 기벌포영화관,2,154
광주자동차극장,2,320
CGV 울산동구,6,412
루프탑시네마 모다순천,1,47
진도아리랑 시네마,2,98
횡성시네마,2,136
완주 휴 시네마,2,90
CGV 평택고덕,8,516
CGV 대학로,10,1973
롯데시네마 센텀시티(백화점)_샤롯데,1,30
NH시네마,3,257
CGV 부산명지,6,431
롯데시네마 위례,7,1001
롯데시네마 김해부원,7,1121
롯데시네마 서청주(아울렛),6,1286
롯데시네마 광복_샤롯데,1,40
메가박스 상봉,7,924
롯데시네마 광명아울렛,7,1216
롯데시네마 부평,9,1523
롯데시네마 산본피트인,7,980
CGV 피카디리1958,6,885
예산시네마,2,99
CGV 전주에코시티,6,806
메가박스 수원,5,1129
CGV DRIVE IN 곤지암,1,260
CGV Salon 서초,1,26
천안인생극장,1,170
CGV 기흥,6,744
CGV 대구연경,6,556
CGV 서면삼정타워,8,1244
CGV 김해율하,4,262
CGV 해운대,6,437
롯데시네마 동탄_샤롯데,1,40
