brand,3D,4D,IMAX
CGV 인천논현,2,0,0
메가박스 양산증산,0,0,0
메가박스 백석벨라시타,1,0,0
영양 작은영화관,0,0,0
의성작은영화관,1,0,0
영광 작은영화관,1,0,0
보성 작은영화관,2,0,0
마실영화관,0,0,0
HAPPY700 평창시네마,1,0,0
전주시네마타운,0,0,0
설성시네마,0,0,0
달홀영화관,0,0,0
메가박스 해운대(장산),2,0,0
CGV 북포항,2,0,0
CGV 연수역,2,0,0
곡성극장,1,0,0
OLC담양담빛시네마,0,0,0
메가박스 청주사창,0,0,0
씨네큐 하동,1,0,0
광명철산 극장,0,0,0
강릉독립예술극장 신영,0,0,0
알프스시네마,2,0,0
KT&G 상상마당 Cinema,0,0,0
롯데시네마 홍대입구,4,0,0
씨네Q 대구이시아,3,0,0
낭만극장,0,0,0
CGV 서산,2,0,0
CGV 기린,1,0,0
CGV 동탄,5,0,0
메가박스 남양주,3,0,0
영화공장,0,0,0
CGV DRIVE IN 용인크랙사이드,0,0,0
CGV 진주혁신,1,0,0
메가박스 신촌,1,0,0
CGV 인천시민공원,5,0,0
메가박스 안성스타필드,1,0,0
메가박스 광명소하,0,0,0
메가박스 광명AK플라자,0,0,0
메가박스 부산대,1,0,0
메가박스 동대문,0,0,0
메가박스 분당,3,0,0
CGV 송파,5,1,0
씨네큐 청라,1,0,0
CGV 천안터미널,4,1,0
CGV 등촌,4,0,0
옥천 향수시네마,1,0,0
CGV 산본,1,0,0
CGV 광주하남,3,0,0
롯데시네마 천안청당,0,0,0
별고을시네마,1,0,0
자유로자동차극장,0,0,0
메가박스 수원남문,1,0,0
영암 기찬시네마,1,0,0
CGV 익산,4,0,0
CGV 부천옥길,1,0,0
화성시 작은영화관,0,0,0
CGV 용산아이파크몰,7,1,1
CGV 송도타임스페이스,1,0,0
CGV 정왕,0,0,0
영동 레인보우 영화관,1,0,0
오시리아 자동차야외극장,0,0,0
임실한마당 작은별영화관,1,0,0
CGV 다산,0,0,0
CGV 안산,2,1,0
명화극장,0,0,0
청춘극장,0,0,0
허리우드클래식,0,0,0
케이트리호텔 X 모노플렉스,0,0,0
CGV 명동역 씨네라이브러리,2,0,0
메가박스 논산,1,0,0
CGV 압구정,4,0,0
CGV 오리,5,0,0
초이자동차극장,0,0,0
인디플러스 천안,0,0,0
제주자동차극장,0,0,0
한국민속촌 자동차극장,0,0,0
CGV 구로,6,0,0
메가박스 목동,2,0,0
괴산자연드림파크 괴산극장,1,0,0
CGV 인천,8,1,1
CGV 고성,1,0,0
CGV 대구아카데미,0,0,0
CGV 영등포,5,1,0
해남시네마,1,0,0
포천 클라우드시네마,1,0,0
울진 작은영화관,1,0,0
보물섬시네마,1,0,0
산청군 작은영화관,1,0,0
강화작은영화관,1,0,0
큐브시네마,0,0,0
양구 정중앙 시네마,0,0,0
메가박스 상암월드컵경기장,0,0,0
대전아트시네마,0,0,0
롯데시네마 제주삼화지구,1,0,0
롯데시네마 센텀시티(백화점),5,0,0
CGV 평택,5,1,0
CGV 신촌아트레온,5,1,0
CGV 강변,5,1,0
금산시네마,1,0,0
금성시네마,1,0,0
대가야시네마,1,0,0
메가박스 김천,3,0,0
CGV 제천,0,0,0
메가박스 목포하당,1,0,0
메가박스 진천,0,0,0
인천미림극장,0,0,0
롯데시네마 평택비전(뉴코아),0,0,0
롯데시네마 수락산,0,0,0
CGV 광명역,1,0,0
롯데시네마 경주황성,1,0,0
롯데시네마 전주송천,1,0,0
롯데시네마 오산(원동),1,0,0
메가박스 남춘천,0,0,0
메가박스 파주금촌,1,0,0
CGV 순천신대,1,0,0
CGV 정읍,1,0,0
메가박스 용인테크노밸리,0,0,0
메가박스 시흥배곧,2,0,0
문화극장 1관,1,0,0
함평자동차극장,0,0,0
메가박스 일산,2,0,0
안영채 X 모노플렉스,0,0,0
메가박스 부산극장,2,0,0
메가박스 이수,1,0,0
CGV 청주터미널,0,0,0
필름포럼,0,0,0
밀양시네마,0,0,0
CGV 대구현대,3,0,0
철원작은영화관 뚜루,2,0,0
롯데시네마 신도림,2,0,0
서울아트시네마,0,0,0
판타스틱 큐브,0,0,0
광주극장,0,0,0
