province,brand
강원도,메가박스 남춘천
경기도,메가박스 파주금촌
전라남도,CGV 순천신대
전라북도,CGV 정읍
경기도,메가박스 용인테크노밸리
경기도,메가박스 시흥배곧
경기도,문화극장 1관
전라남도,함평자동차극장
경기도,메가박스 일산
경기도,안영채 X 모노플렉스
부산시,메가박스 부산극장
서울시,메가박스 이수
충청북도,CGV 청주터미널
서울시,필름포럼
경상남도,밀양시네마
대구시,CGV 대구현대
강원도,철원작은영화관 뚜루
서울시,롯데시네마 신도림
서울시,서울아트시네마
경기도,판타스틱 큐브
광주시,광주극장
서울시,씨네큐 신도림
서울시,라이카시네마
충청북도,메가박스 충주
서울시,인디스페이스
서울시,아리랑시네센터(서울)
경기도,동광극장(구 문화극장3관)
경기도,문화극장 2관
인천시,애관극장(인천)
경상북도,예당시네마
서울시,KU시네마테크
경기도,조종시네마
경상남도,함안군 작은영화관
전라남도,화순시네마
인천시,인천대한극장
서울시,대한극장(서울)
강원도,CGV 원통
충청남도,명보시네마
강원도,영월시네마
대전시,대전독립영화전용관 씨네인디U
전라남도,구례자연드림시네마
전라북도,무주 산골 영화관
경기도,CGV 동백
인천시,영화공간주안
전라북도,조이아트시네마
전라북도,조이앤시네마 전주점
전라남도,고흥 작은영화관
서울시,이봄씨어터
광주시,CGV 광주터미널
경상북도,엠시네마 자동차극장
전라북도,지평선시네마
서울시,CGV 청담씨네시티
부산시,영화의 전당
충청남도,스타박스
경상남도,합천시네마
전라남도,완도 빙그레 시네마
경기도,1939시네마
전라북도,마이골 작은영화관
전라북도,천재의 공간 영화산책
전라북도,동리시네마
경기도,CGV 소풍
충청남도,서천군 기벌포영화관
광주시,광주자동차극장
울산시,CGV 울산동구
전라남도,루프탑시네마 모다순천
전라남도,진도아리랑 시네마
강원도,횡성시네마
전라북도,완주 휴 시네마
경기도,CGV 평택고덕
서울시,CGV 대학로
부산시,롯데시네마 센텀시티(백화점)_샤롯데
전라북도,NH시네마
부산시,CGV 부산명지
경기도,롯데시네마 위례
경상남도,롯데시네마 김해부원
충청북도,롯데시네마 서청주(아울렛)
부산시,롯데시네마 광복_샤롯데
서울시,메가박스 상봉
경기도,롯데시네마 광명아울렛
인천시,롯데시네마 부평
경기도,롯데시네마 산본피트인
서울시,CGV 피카디리1958
충청남도,예산시네마
전라북도,CGV 전주에코시티
경기도,메가박스 수원
경기도,CGV DRIVE IN 곤지암
서울시,CGV Salon 서초
충청남도,천안인생극장
경기도,CGV 기흥
대구시,CGV 대구연경
부산시,CGV 서면삼정타워
경상남도,CGV 김해율하
부산시,CGV 해운대
경기도,롯데시네마 동탄_샤롯데
서울시,아트하우스모모
서울시,CGV 성신여대입구
충청남도,CGV 천안시청
서울시,CGV 연남
경기도,CGV 역곡
경기도,CGV 범계
경상북도,영천공설시장 별빛영화관
인천시,CGV DRIVE IN 스퀘어원
부산시,롯데시네마 부산명지
인천시,CGV 인천도화
부산시,메가박스 덕천
강원도,삼척 가람영화관
강원도,CGV 강릉
인천시,CGV 인천연수
강원도,롯데시네마 속초
충청북도,씨네Q 보은
부산시,CGV 화명
서울시,CGV 천호
서울시,CGV 명동
서울시,CGV 동대문
서울시,CGV 수유
서울시,CGV 미아
부산시,CGV 대연
광주시,CGV 광주금남로
부산시,CGV 센텀시티
서울시,CGV 상봉
경기도,CGV 김포
서울시,CINE de CHEF 용산아이파크몰
경기도,메가박스 백석
경기도,CGV 동탄역
전라남도,정남진시네마
경상북도,롯데시네마 영주
충청남도,씨네큐 천안불당
전라남도,CGV 광양엘에프스퀘어
충청북도,CGV 충주교현
경상북도,CGV 경산
강원도,CGV 인제
경기도,CGV 광교
광주시,CGV 광주첨단
대구시,CGV 대구월성
충청북도,CGV 청주성안길
충청북도,CGV 청주지웰시티
충청남도,CGV 홍성
충청남도,CGV 천안펜타포트
충청남도,CGV 천안
충청남도,CGV 논산
제주도,CGV 제주노형
제주도,CGV 제주
전라북도,CGV 전주효자
전라북도,CGV서전주
전라남도,CGV 목포
전라남도,CGV 나주
전라남도,CGV 광양
인천시,CGV 청라
서울시,롯데시네마 중랑
강원도,롯데시네마 원주무실
인천시,CGV 주안역
인천시,CGV 인천학익
울산시,CGV 울산진장
울산시,CGV 울산신천
울산시,CGV 울산삼산
대구시,롯데시네마 상인
서울시,CGV 왕십리
서울시,CGV 중계
부산시,CINE de CHEF 센텀
서울시,CGV 강남
부산시,CGV 아시아드
부산시,CGV 하단아트몰링
부산시,CGV 동래
대전시,CGV 대전
대전시,CGV 대전가수원
대전시,CGV 대전터미널
대구시,CGV 대구한일
대구시,CGV 대구스타디움
대구시,CGV 대구칠곡
광주시,CGV 광주충장로
경상남도,CGV 창원더시티
경상남도,CGV 창원
경상남도,CGV 창원상남
경상남도,CGV 양산삼호
경상남도,CGV 거제
경기도,CGV 동탄호수공원
대전시,롯데시네마 대전센트럴
서울시,롯데시네마 도곡
경기도,CGV 스타필드시티위례
경기도,CGV 포천
경기도,CGV 파주야당
경기도,CGV 이천
경기도,CGV 의정부
경기도,CGV 오산중앙
경기도,CGV 양주옥정
경기도,CGV 배곧
경기도,CGV 시흥
경기도,CGV 수원
경기도,CGV 동수원
경기도,CGV 야탑
경기도,CGV 김포한강
경기도,CGV 일산
경기도,CGV 고양행신
경상북도,칠곡호이영화관(씨네Q)
경상북도,안동중앙시네마
강원도,양양 작은영화관
충청남도,태안시네마
경기도,CGV 의정부태흥
서울시,메가박스 강남대로(씨티)
경기도,CGV 하남미사
경기도,헤이리시네마
서울시,에무 시네마 앤 카페
